siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords,,,,
s636,4390824,CLIC1,chloride intracellular channel 1,G6;NCC27,NM_001287593.1;NM_001287594.1;NM_001288.4,CB124154.1;AK129773.1;BM562536.1;BC095469.1;CR542071.1;U93205.1;AF109197.1;AK223379.1;HY057217.1;AK314014.1;X87689.1;AF034607.1;CX783058.1;BC064527.1,,Silencer® Select,Inventoried,,*,,,,
s3160,4390824,CLIC2,chloride intracellular channel 2,CLIC2b;MRXS32;XAP121,NM_001289.5,AY191592.1;BC022305.1;BC005367.1;Y12696.1;DA901964.1;BX482109.1;AK292785.1,,Silencer® Select,Inventoried,,*,,,,
s11954,4390824,RFC5,replication factor C subunit 5,RFC36,XM_017019779.1;XM_011538645.2;XM_011538643.2;NM_007370.5;NM_181578.3;NM_001130112.2;NM_001206801.1,CR407651.1;BC013961.2;L07540.1;BC020440.1;AB208992.1;BC001866.1;AK291107.1;AK094575.1;AK290685.1,,Silencer® Select,Inventoried,,*,,,,
s28764,4390824,FXYD5,FXYD domain containing ion transport regulator 5,DYSAD;HSPC113;IWU1;KCT1;OIT2;PRO6241;RIC,NM_144779.2;NM_001164605.1;NR_028406.1;NM_001320912.1;NM_014164.5,BT007343.1;BU164524.1;BM839241.1;BQ440098.1;AA044211.1;BC018798.1;AF161462.1;BU178888.1;BM550889.1;AK304012.1;BC009642.2;AB072911.1;BC013834.1;BQ941279.1;AY157582.1;BG025158.1;AY358991.1,,Silencer® Select,Inventoried,,*,,,,
s12275,4390824,RPS6KA1,ribosomal protein S6 kinase A1,HU-1;MAPKAPK1A;RSK;RSK1;p90Rsk,XM_005245966.4;NM_001006665.1;NM_002953.3,BC014966.1;AK225672.1;AK092955.1;AK315730.1;AK294818.1;L07597.1;AK292722.1;AK299007.1,,Silencer® Select,Inventoried,,*,,,,
s25500,4390824,AGO1,argonaute 1, RISC catalytic component,EIF2C;EIF2C1;GERP95;Q99;hAgo1,XM_017001016.1;NM_001317122.1;NM_012199.4;XM_011541236.2;NM_001317123.1;XM_017001019.1;XM_017001018.1;XM_017001017.1,AF093097.1;BC063275.1;AK314148.1;CR936823.1;AK001622.1,,Silencer® Select,Inventoried,,*,,,
s5400,4390824,FUCA2,fucosidase, alpha-L- 2, plasma,dJ20N2.5,NM_032020.4,BC003060.2;BG719318.1;AK075458.1;BC051268.1;AK315475.1;AY358551.1;AK296485.1,,Silencer® Select,Inventoried,,*,,
s7803,4390824,KCNN4,potassium calcium-activated channel subfamily N member 4,DHS2;IK;IK1;IKCA1;KCA4;KCa3.1;SK4;hIKCa1;hKCa4;hSK4,NM_002250.2;XM_005258882.2;XM_005258883.2,AF395661.1;AB128985.1;AB128984.1;BC015337.1;AF022150.1;AF033021.1;AF000972.1;BT007426.1;AF022797.1;AB128983.1,,Silencer® Select,Inventoried,,*,,,,
s34390,4390824,LHPP,phospholysine phosphohistidine inorganic pyrophosphate phosphatase,HDHD2B,NM_001167880.1;NM_001318332.1;XM_005270026.3;XM_017016509.1;XM_017016510.1;XM_006717943.1;XM_017016511.1;XM_011540058.2;NM_022126.3,BM541880.1;BC113631.1;BC110344.1;AK055532.1;BC113629.1,,Silencer® Select,Inventoried,,*,,,,
s5866,4390824,GNA12,G protein subunit alpha 12,NNX3;RMP;gep,NM_001282440.1;NM_007353.2;NM_001282441.1;XM_011515288.2;XM_017012008.1;NM_001293092.1,L01694.1;BC111464.1;AK295830.1;AK127842.1;AK128701.1;AK122830.1;BC087537.1;AF493901.1,,Silencer® Select,Inventoried,,*,,,,
s9312,4390824,NCL,nucleolin,C23,NM_005381.2,AK091742.1;AK000250.1;AK095897.1;AK128584.1;AK000221.1;BC002343.2;AK127608.1;AK001314.1;BC006516.2;BC006494.2;AK122805.1,,Silencer® Select,Inventoried,,*,,,,
s2421,4390824,CASP6,caspase 6,MCH2,NM_001226.3;NM_032992.2;NR_133012.1,BX380795.2;BM837197.1;U20537.1;BC000305.2;U20536.1;BC004460.1,,Silencer® Select,Inventoried,,*,,,,
s25624,4390824,RPS6KC1,ribosomal protein S6 kinase C1,RPK118;RSKL1;S6K-delta-1;S6PKh1;humS6PKh1,XM_017001032.1;NM_001287219.1;NM_001287220.1;XM_017001031.1;XM_017001030.1;XM_017001029.1;NM_001287218.1;XM_017001028.1;XM_017001027.1;XM_017001026.1;NM_001287221.1;XM_017001025.1;NM_012424.4;XM_005273095.1;XM_017001034.1;XM_017001033.1;NM_001136138.2;XM_017001024.1;XM_005273096.1;XM_006711272.1,AK122921.1;AF477978.1;AB070706.1;AK295053.1;BC104769.1;AK299298.1;BX647303.1;BC143473.1;AK122989.1,,Silencer® Select,Inventoried,,*,,,,
s11294,4390824,PSEN2,presenilin 2,AD3L;AD4;CMD1V;PS2;STM2,XM_005273199.3;NM_000447.2;NM_012486.2;XM_017001835.1;XM_017001836.1,U34349.1;L43964.1;L44577.1;BT006984.1;BC006365.2;AK292299.1;AK301143.1,,Silencer® Select,Inventoried,,*,,,,
s44383,4390824,DYNLL2,dynein light chain LC8-type 2,DNCL1B;Dlc2;RSPH22,NM_080677.2,BC010744.1;BF528423.1;AF112997.1;AF086304.1,,Silencer® Select,Inventoried,,*,,,,
s12279,4390824,RPS6KA3,ribosomal protein S6 kinase A3,CLS;HU-3;ISPK-1;MAPKAPK1B;MRX19;RSK;RSK2;S6K-alpha3;p90-RSK2;pp90RSK2,XM_017029718.1;XM_017029719.1;XM_011545558.2;XM_011545556.1;XM_005274573.2;XM_017029713.1;XM_017029716.1;XM_006724507.3;XM_017029717.1;NM_004586.2;XM_017029714.1;XM_017029715.1;XM_011545563.2;XM_011545555.1;XM_011545557.2;XM_011545561.1;XM_011545562.1;XM_011545559.1;XM_011545560.1;XM_005274577.2,U08316.1;AK316482.1;AB208933.1;BC096302.3;AK296775.1;BC096303.1;BC096301.1;L07599.1;AB102662.1;AK313932.1,,Silencer® Select,Inventoried,,*,,,,
s4079,4390824,DHCR24,24-dehydrocholesterol reductase,DCE;Nbla03646;SELADIN1;seladin-1,NM_014762.3,AK304421.1;AF261758.1;BC011669.2;BQ439951.1;BP200916.1;BC004375.1;D13643.3,,Silencer® Select,Inventoried,,*,,,,
s10688,4390824,PLS3,plastin 3,BMND18;T-plastin,NM_001282338.1;XM_011537534.1;NM_005032.6;NM_001136025.4;NM_001282337.1;NM_001172335.2,AK300575.1;AK312391.1;BC008588.1;AK294385.1;BC056898.1;AK298501.1;AK295429.1;M22299.1;AK311211.1;BC039049.1;AK294509.1;AK298530.1;AK222801.1,,Silencer® Select,Inventoried,,*,,,,
s10496,4390824,PIGC,phosphatidylinositol glycan anchor biosynthesis class C,GPI2,NM_002642.3;NM_153747.1,BC006539.2;BT006734.1;D85418.1;BG106700.1;CR450292.1;AK308201.1,,Silencer® Select,Inventoried,,*,,,,
s1435,4390824,APC,APC, WNT signaling pathway regulator,BTPS2;DP2;DP2.5;DP3;GS;PPP1R46,NM_001127510.2;NM_001127511.2;NM_000038.5,AB210001.1;M73548.1;M74088.1,,Silencer® Select,Inventoried,,*,,,
s24064,4390824,TTC33,tetratricopeptide repeat domain 33,OSRF,NM_012382.2;XM_011514003.2,BC036536.1;AK312560.1;BC015701.1;AF023244.1;DA518274.1,,Silencer® Select,Inventoried,,*,,,,
s20810,4390824,USP16,ubiquitin specific peptidase 16,UBP-M;UBPM,NM_006447.2;NM_001032410.1;XM_017028260.1;NM_001001992.1;XM_017028261.1;XM_017028257.1;XM_017028258.1;XM_017028259.1,BC030777.2;AK222681.1;AK025104.1;AK300771.1;AF113219.1;AF126736.1;AK302247.1;AK294284.1;AY333928.1;AK222884.1;AK023247.1,,Silencer® Select,Inventoried,,*,,,,
s18403,4390824,CDC42BPB,CDC42 binding protein kinase beta,MRCKB,XM_005268227.1;XM_005268229.1;XM_005268228.1;XM_005268230.4;XM_011537387.1;NM_006035.3,AF128625.1;AK094920.1;AB032950.3;BC155541.1;BX248752.1,,Silencer® Select,Inventoried,,*,,,,
s3012,4390824,CHM,CHM, Rab escort protein 1,DXS540;GGTA;HSD-32;REP-1;TCD,XM_017029246.1;XM_017029245.1;XM_017029244.1;NM_001145414.3;NM_001320959.1;NM_000390.3;XM_017029243.1;XM_017029242.1,AK291160.1;X78121.1;DB231066.1;BC130496.1;AK312443.1;DA403806.1;BC130494.1,,Silencer® Select,Inventoried,,*,,,
s4929,4390824,F2RL2,coagulation factor II thrombin receptor like 2,PAR-3;PAR3,NM_004101.3;NM_001256566.1,BX537386.1;AK312848.1;BC093650.1;AK298585.1;U92971.1;BC093648.1;BC095499.1,,Silencer® Select,Inventoried,,*,,,,
s10383,4390824,CDK14,cyclin dependent kinase 14,PFTAIRE1;PFTK1,XM_005250438.3;XM_017012322.1;XM_005250439.2;XM_017012320.1;XM_005250436.3;XM_017012321.1;NM_001287135.1;NM_001287136.1;NM_012395.3;NM_001287137.1;XM_011516306.2,AK296406.1;BC167156.1;AK297974.1;BC136477.1;BC152388.1;AK316026.1;AK307484.1;BC152436.1;BC136476.1;AK289782.1;BC167152.1;AB020641.1;AF119833.1,,Silencer® Select,Inventoried,,*,,,,
s23893,4390824,CAPN7,calpain 7,CALPAIN7;PALBH,XM_017006043.1;XM_011533557.2;NM_014296.2;XM_011533556.2;XM_017006044.1;XM_011533555.2;XM_017006045.1,AK314253.1;AB028639.1;BC056202.1;AK093742.1,,Silencer® Select,Inventoried,,*,,,,
s489,4390824,MBTPS1,membrane bound transcription factor peptidase, site 1,PCSK8;S1P;SKI-1,XM_017023816.1;XM_017023817.1;NM_003791.3,BC114555.1;BC026330.1;D42053.1;BC114961.1;AK291773.1,,Silencer® Select,Inventoried,,*,,,
s20873,4390824,TRIM16,tripartite motif containing 16,EBBP,NM_006470.3,AF096870.1;BC053514.1;AK314557.1;AK002035.1;BC067096.1;CR457136.1;BC001564.1,,Silencer® Select,Inventoried,,*,,,,
s8126,4390824,LDHB,lactate dehydrogenase B,HEL-S-281;LDH-B;LDH-H;LDHBD;TRG-5,XM_006719074.2;NM_001315537.1;NM_001174097.2;NM_002300.7,BC015122.1;BC071860.1;Y00711.1;CX867875.1;BC002362.1;AK312328.1;AK129881.1;AL516910.3;EU794633.1;BU540074.1;BT019764.1;BT019765.1;AY189689.1,,Silencer® Select,Inventoried,,*,,,,
s1402,4390824,ANXA11,annexin A11,ANX11;CAP50,NM_145869.1;NM_145868.1;XM_011539735.1;XM_011539736.2;XM_005269742.1;NM_001278408.1;NM_001278407.1;NM_001278409.1;XM_006717814.3;XM_006717813.1;XM_005269741.4;NM_001157.2,BT019934.1;L19605.1;AJ278464.1;AB209770.1;BC007564.2;CR450323.1;AK126287.1;AK222918.1;AK300509.1;AJ278463.1;AK298362.1;AJ278465.1;AK056107.1;AK000567.1;AK301047.1,,Silencer® Select,Inventoried,,*,,,,
s21631,4390824,METAP2,methionyl aminopeptidase 2,MAP2;MNPEP;p67eIF2,XM_005268583.3;NM_001317182.1;NM_001317183.1;NR_133673.1;NM_006838.3,AK091730.1;AK315559.1;AK055692.1;U13261.1;BC013782.1;AK300836.1;AK125296.1,,Silencer® Select,Inventoried,,*,,,,
s6285,4390824,GSTZ1,glutathione S-transferase zeta 1,GSTZ1-1;MAAI;MAI,NM_001312660.1;XM_011536670.2;NM_145871.2;XM_011536671.2;NM_145870.2;XM_017021243.1,BI559916.1;BE958109.1;AK309054.1;BG330365.1;AB209360.1;CR456987.1;AJ001838.1;AK315609.1;BI829992.1;AK315154.1;U86529.1;BG772450.1;BC001453.1,,Silencer® Select,Inventoried,,*,,,,
s18314,4390824,TP53I3,tumor protein p53 inducible protein 3,PIG3,XM_005264650.2;NM_001206802.2;NM_004881.4;XM_006712150.2;NM_147184.3,AK223382.1;AK297579.1;AY371700.1;BT007149.1;BC000474.2;AF010309.1;BC018819.2,,Silencer® Select,Inventoried,,*,,,,
s17396,4390824,ATP6V0D1,ATPase H+ transporting V0 subunit d1,ATP6D;ATP6DV;P39;VATX;VMA6;VPATPD,XM_011523445.1;XM_011523444.1;NM_004691.4;XM_011523446.1,AK301630.1;BI552108.1;AK128641.1;AK313035.1;X71490.1;BC008861.2;AK300570.1,,Silencer® Select,Inventoried,,*,,,,
s2153,4390824,C1R,complement C1r subcomponent,,NM_001733.4;XM_017019915.1,AK298445.1;M14058.1;AK222481.1;AK222491.1;BC035220.1;AK291313.1;X04701.1;AK024951.1;AK303750.1,,Silencer® Select,Inventoried,,*,,,,
s11773,4390824,RANBP2,RAN binding protein 2,ADANE;ANE1;IIAE3;NUP358;TRP1;TRP2,XM_011511578.2;XM_005264002.2;XM_005264003.2;XM_005264004.2;XM_005264005.4;NM_006267.4;XM_005264007.2;XM_017004623.1;XM_011511575.2;XM_011511576.2,AK025711.1;D42063.1;AB209483.1;U19248.1,,Silencer® Select,Inventoried,,*,,,,
s16747,4390824,TNFRSF11A,TNF receptor superfamily member 11a,CD265;FEO;LOH18CR1;ODFR;OFE;OPTB7;OSTS;PDB2;RANK;TRANCER,XM_017026064.1;XM_011526244.2;NM_003839.3;NM_001270949.1;NM_001270951.1;NM_001270950.1;XM_011526245.2;NM_001278268.1,HE649916.1;HE649917.1;AB209762.1;HF584702.1;HE647782.1;AF018253.1,,Silencer® Select,Inventoried,,*,,,,
s17690,4390824,DHRS3,dehydrogenase/reductase 3,DD83.1;RDH17;Rsdr1;SDR1;SDR16C1;retSDR1,NM_004753.6;XM_017002809.1;NM_001324370.1;NM_001319225.1,BF037805.1;AF061741.1;AK225057.1;AK312961.1;BX648476.1;AK222593.1;BC002730.2,,Silencer® Select,Inventoried,,*,,,,
s26207,4390824,STK39,serine/threonine kinase 39,DCHT;PASK;SPAK,XM_017003815.1;XM_017003816.1;XM_017003813.1;NM_013233.2;XM_017003814.1;XM_005246465.2,AF030403.1;KJ534950.1;KJ534951.1;KJ534999.1;KJ535059.1;AF099989.1;KJ534948.1;KJ534949.1,,Silencer® Select,Inventoried,,*,,,,
s1247,4390824,ALDH1B1,aldehyde dehydrogenase 1 family member B1,ALDH5;ALDHX,XM_011517802.2;NM_000692.4,BT007418.1;AK313344.1;AK225950.1;BC001619.1,,Silencer® Select,Inventoried,,*,,,,
s18240,4390824,PMPCB,peptidase, mitochondrial processing beta subunit,Beta-MPP;MPP11;MPPB;MPPP52;P-52,XM_005250717.3;XM_006716181.3;NM_004279.2,BP311561.1;AF054182.1;AK309928.1;AK289864.1;AK000994.1;AK297354.1;AK057656.1;AK098616.1;BC014079.2,,Silencer® Select,Inventoried,,*,,,
s20874,4390824,TRIM16,tripartite motif containing 16,EBBP,NM_006470.3,AF096870.1;BC053514.1;AK314557.1;AK002035.1;BC067096.1;CR457136.1;BC001564.1,,Silencer® Select,Inventoried,,*,,,,
s9743,4390824,NTHL1,nth-like DNA glycosylase 1,FAP3;NTH1;OCTS3;hNTH1,NM_002528.6;NM_001318193.1;XM_017023253.1,HY094895.1;AB001575.1;U79718.1;BE900738.1;BC000391.2;U81285.1;Y09687.1;HY057336.1;BC003014.1,,Silencer® Select,Inventoried,,*,,,,
s15665,4390824,AKAP1,A-kinase anchoring protein 1,AKAP;AKAP121;AKAP149;AKAP84;D-AKAP1;PPP1R43;PRKA1;SAKAP84;TDRD17,XM_017025189.1;XM_005257707.2;XM_005257709.2;NM_001242903.1;NM_001242902.1;XM_017025191.1;NM_003488.3;XM_017025190.1,AK308397.1;BC000729.2;X97335.1;AK292416.1;AK297810.1;U34074.1,,Silencer® Select,Inventoried,,*,,,,
s16319,4390824,MKNK1,MAP kinase interacting serine/threonine kinase 1,MNK1,XM_017002658.1;NM_001135553.2;XM_006711003.1;XM_017002656.1;XM_006711006.3;XM_017002657.1;XM_017002654.1;XM_006711000.1;XM_017002655.1;XM_017002652.1;XM_006711002.2;XM_017002653.1;XM_006711001.2;NR_024174.2;NM_198973.3;XM_017002659.1;XM_017002660.1;NM_003684.5;XM_006711015.1;XM_017002667.1;NR_024176.2;XM_017002668.1;XM_017002665.1;XM_006711014.1;XM_006711013.1;XM_017002666.1;XM_017002663.1;XM_017002664.1;XM_006711007.1;XM_017002661.1;XM_006711009.3;XM_017002662.1,AK096423.1;BC002755.2;AK290456.1;AY355461.1;AB451300.1;AK310566.1;BX538193.1;BG722049.1;AB451432.1;AB000409.1;AK298839.1,,Silencer® Select,Inventoried,,*,,,,
s11060,4390824,PRKAB1,protein kinase AMP-activated non-catalytic subunit beta 1,AMPK;HAMPKb,NM_006253.4;XM_005253909.1,AF022116.1;Y12556.1;AK312495.1;BC017671.1;U83994.1;BC001823.2;BC018818.2;AK301165.1;BC001007.2;BC001056.2,,Silencer® Select,Inventoried,,*,,,,
s28801,4390824,RAB4B-EGLN2;MIA-RAB4B;RAB4B,RAB4B-EGLN2 readthrough (NMD candidate);MIA-RAB4B readthrough (NMD candidate);RAB4B, member RAS oncogene family,RERT-lncRNA,NR_037791.1;NM_016154.4;NR_037775.1,AF087861.1;AF165522.1;AK302147.1;AK291385.1;BG706803.1;AF217985.1;BC033081.1;AF498935.1;BC046927.1,,Silencer® Select,Inventoried,,*,,,
s224156,4390824,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B,MTDPS8A;MTDPS8B;P53R2,NM_001172477.1;NM_015713.4;NM_001172478.1,AB166671.1;BC117496.1;BC042468.1;BC108261.1;DC308409.1;AL137348.1;AK304354.1;CR627376.1;AK001965.1;AB036063.1;AB163437.1;BC130628.1,,Silencer® Select,Inventoried,,*,,,,
s37706,4390824,NIPA2,non imprinted in Prader-Willi/Angelman syndrome 2,,XM_017022645.1;XM_017022646.1;XM_011543880.2;XM_011543879.2;XM_011543878.2;XM_017022649.1;XM_006720364.2;NM_001184888.1;XM_017022650.1;XM_017022647.1;XM_006720365.2;XM_017022648.1;XM_006720366.3;XM_017022653.1;XM_017022654.1;NM_001184889.1;XM_017022651.1;NM_001008894.2;XM_017022652.1;NM_001008892.2;XM_017022657.1;XM_011543877.2;XM_017022658.1;XM_017022655.1;XM_017022656.1;XM_017022661.1;XM_017022662.1;NM_001008860.2;XM_017022659.1;XM_005272552.3;XM_017022660.1;XM_005272553.4;XM_017022663.1;XM_006720367.1;XM_005272546.3;NM_030922.6;XM_005272547.4;XM_005272550.3;XM_005272548.3,AK313584.1;BC011775.2;U90904.1;BC000957.3;AY732242.1;AK300843.1,,Silencer® Select,Inventoried,,*,,,,
s11341,4390824,PSMA5,proteasome subunit alpha 5,PSC5;ZETA,NM_001199773.1;NM_001199772.1;NM_001199774.1;NM_002790.3,AK304448.1;X61970.1;CR456847.1;BT019717.1;AK225990.1;DC324498.1;DC320780.1;BC102018.1;DC324021.1;BC102020.1;BC103751.1;GU727639.1;BC102019.1;BI825400.1;AK313351.1;BG743267.1;BM793388.1,,Silencer® Select,Inventoried,,*,,,,
s29616,4390824,SNRK,SNF related kinase,HSNFRK,NM_001100594.1;XM_011533861.2;XM_005265245.3;NM_017719.4,CR749621.1;AK314376.1;AK295187.1;D43636.2;BC071567.1;AK000231.1;AK291360.1,,Silencer® Select,Inventoried,,*,,,,
s5447,4390824,G6PD,glucose-6-phosphate dehydrogenase,G6PD1,NM_000402.4;NM_001042351.2,AK292304.1;M21248.1;BC000337.2;X03674.1;AK302341.1,,Silencer® Select,Inventoried,,*,,,,
s1196,4390824,AHCY,adenosylhomocysteinase,SAHH;adoHcyase,XM_005260317.2;NM_001161766.1;XM_011528658.2;XM_011528657.2;XM_011528659.1;NM_000687.3;NM_001322086.1;XM_017027708.1;NM_001322085.1;XM_017027709.1;XM_011528656.2;NM_001322084.1;XM_017027710.1,AK300014.1;BC114924.1;BC011606.2;AK316180.1;BC010018.2;M61832.1;BT006697.1;M61831.1;AK290422.1;AK097610.1,,Silencer® Select,Inventoried,,*,,,,
s22036,4390824,PSIP1,PC4 and SFRS1 interacting protein 1,DFS70;LEDGF;PAIP;PSIP2;p52;p75,NM_001317900.1;NM_021144.3;NM_033222.4;NM_001128217.2;NM_001317898.1,BX649155.1;BC064135.1;U94319.1;AF432220.1;AF098482.1;AF098483.1;AF063020.1;BC044568.1,,Silencer® Select,Inventoried,,*,,,,
s18048,4390824,CDYL,chromodomain protein, Y-like,CDYL1,NM_001143971.1;NM_004824.3;XM_011514997.2;NM_001143970.1;NR_026590.1,AK296985.1;BG766689.1;BC119682.2;BC061516.1;AF081258.1;AF081259.1;BC108725.1;AK291601.1,,Silencer® Select,Inventoried,,*,,,
s223257,4390824,CLNS1A,chloride nucleotide-sensitive channel 1A,CLCI;CLNS1B;ICln,NM_001311200.1;NM_001311199.1;NM_001311202.1;NM_001293.2,AF026003.1;X91788.1;AF005422.1;U17899.1;BU169662.1;AK315259.1;BQ643786.1;AL530926.3;BT019907.1;BC119635.1;BC119634.1;U53454.1,,Silencer® Select,Inventoried,,*,,,,
s8177,4390824,LIG3,DNA ligase 3,LIG2,XM_005257970.3;XM_006721896.3;XM_017024624.1;NM_013975.3;NM_002311.4,X84740.1;BC068005.1;BM759573.1;AK300363.1;BC009026.1;AK308407.1;DB100562.1;U40671.1,,Silencer® Select,Inventoried,,*,,,,
s11428,4390824,PSPH,phosphoserine phosphatase,PSP;PSPHD,XM_005271776.1;XM_017012466.1;XM_005271775.1;XM_017012467.1;XM_005271774.1;XM_006715760.1;XM_011515461.1;XM_006715761.1;XM_017012468.1;XM_005271773.1;XM_017012469.1;NM_004577.3,AK315235.1;AK223508.1;BC063614.1;BX537439.1,,Silencer® Select,Inventoried,,*,,,,
s11141,4390824,MAPK3,mitogen-activated protein kinase 3,ERK-1;ERK1;ERT2;HS44KDAP;HUMKER1A;P44ERK1;P44MAPK;PRKM3;p44-ERK1;p44-MAPK,NM_002746.2;NM_001040056.2;NM_001109891.1,X60188.1;BX537897.1;AY033608.1;BC000205.1;DQ399291.1;AY033607.1;BC013992.1;Z11696.1;AK307995.1;KJ534878.1;AK091009.1;M84490.1,,Silencer® Select,Inventoried,,*,,,,
s459,4390824,BRCA1,BRCA1, DNA repair associated,BRCAI;BRCC1;BROVCA1;FANCS;IRIS;PNCA4;PPP1R53;PSCP;RNF53,NM_007294.3;NM_007297.3;NR_027676.1;NM_007298.3;NM_007299.3;NM_007300.3,BC115037.1;BC072418.1;JN686490.1;AK316200.1;BC046142.1;AY751490.1;BC085615.1;AF005068.1;U64805.1;U14680.1,,Silencer® Select,Inventoried,,*,,,
s2420,4390824,CASP6,caspase 6,MCH2,NM_001226.3;NM_032992.2;NR_133012.1,BX380795.2;BM837197.1;U20537.1;BC000305.2;U20536.1;BC004460.1,,Silencer® Select,Inventoried,,*,,,,
s16478,4390824,DYNLL1,dynein light chain LC8-type 1,DLC1;DLC8;DNCL1;DNCLC1;LC8;LC8a;PIN;hdlc1,NM_001037495.1;NM_001037494.1;NM_003746.2,BC104244.1;CR542128.1;BC104245.1;BG705617.1;U32944.1;CR407672.1;BC100289.1;CB992195.1;BG474448.1;AK311790.1;BM817665.1;CD678447.1,,Silencer® Select,Inventoried,,*,,,,
s9605,4390824,NNMT,nicotinamide N-methyltransferase,,NM_006169.2,U08021.1;AK026845.1;CR541907.1;AA402535.1;BC000234.1,,Silencer® Select,Inventoried,,*,,,,
s3484,4390824,CRABP2,cellular retinoic acid binding protein 2,CRABP-II;RBP6,XM_017000343.1;NM_001199723.1;NM_001878.3,BT019827.1;AK312007.1;AU126559.1;M68867.1;BC001109.2;AB593017.1;BP231157.1,,Silencer® Select,Inventoried,,*,,,,
s10888,4390824,PPARG,peroxisome proliferator activated receptor gamma,CIMT1;GLM1;NR1C3;PPARG1;PPARG2;PPARgamma,XM_011533842.2;XM_011533844.1;NM_005037.5;NM_138711.3;NM_138712.3;NM_015869.4;XM_011533843.2;XM_011533841.2,BG323933.1;BC006811.1;AJ563369.1;AB451486.1;AB472042.1;AB307692.1;DQ356894.1;D83233.1;BM923992.1;BT007281.1;KU178267.1;U63415.1;AJ563370.1;AJ698135.1;U79012.1;AL523434.3;AB451337.1;X90563.1;BQ925271.1;BI820841.1;AB565476.1;AK290581.1;KU178268.1;AK223528.1;HQ692866.1,,Silencer® Select,Inventoried,,*,,,,
